Number,Name,Types,Species,Legendary,Mythical,Generation,Sprite,Description, Aliases,False
036,Clefable,Fairy,Fairy,False,False,1,https://pokeres.bastionbot.org/images/pokemon/36.png,"Said to live in quiet, remote mountains, this type of fairy has a strong aversion to being seen.",,False
037,Vulpix,Fire,Fox,False,False,1,https://pokeres.bastionbot.org/images/pokemon/37.png,"As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur.",,False
037,Alolan Vulpix,Ice,Fox,False,False,1,https://pokeres.bastionbot.org/images/pokemon/37.png,"As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur.",,False
038,Ninetales,Fire,Fox,False,False,1,https://pokeres.bastionbot.org/images/pokemon/38.png,"It is said to live a thousand years, and each of its tails is loaded with supernatural powers.",,False
038,Alolan Ninetales,Ice|Fairy,Fox,False,False,1,https://pokeres.bastionbot.org/images/pokemon/38.png,"It is said to live a thousand years, and each of its tails is loaded with supernatural powers.",,False
039,Jigglypuff,Normal|Fairy,Balloon,False,False,1,https://pokeres.bastionbot.org/images/pokemon/39.png,It rolls its cute eyes as it sings a soothing lullaby. Its gentle song puts anyone who hears it to sleep.,,False
040,Wigglytuff,Normal|Fairy,Balloon,False,False,1,https://pokeres.bastionbot.org/images/pokemon/40.png,"The rich, fluffy fur that covers its body feels so good that anyone who feels it can't stop touching it.",,False
041,Zubat,Flying|Poison,Bat,False,False,1,https://pokeres.bastionbot.org/images/pokemon/41.png,"During the day, it gathers with others and hangs from the ceilings of old buildings and caves.",,False
042,Golbat,Flying|Poison,Bat,False,False,1,https://pokeres.bastionbot.org/images/pokemon/42.png,"When it plunges its fangs into its prey, it instantly draws and gulps down more than ten ounces of blood.",,False
043,Oddish,Grass|Poison,Weed,False,False,1,https://pokeres.bastionbot.org/images/pokemon/43.png,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",,False
044,Gloom,Grass|Poison,Weed,False,False,1,https://pokeres.bastionbot.org/images/pokemon/44.png,"The smell from its drool-like syrup and the pollen on its petals is so bad, it may make opponents faint.",,False
045,Vileplume,Grass|Poison,Flower,False,False,1,https://pokeres.bastionbot.org/images/pokemon/45.png,"By shaking its big petals, it scatters toxic pollen into the air, turning the air yellow.",,False
046,Paras,Grass|Bug,Mushroom,False,False,1,https://pokeres.bastionbot.org/images/pokemon/46.png,The tochukaso growing on this POKéMON's back orders it to extract juice from tree trunks.,,False
047,Parasect,Grass|Bug,Mushroom,False,False,1,https://pokeres.bastionbot.org/images/pokemon/47.png,"When nothing's left to extract from the bug, the mushrooms on its back leave spores on the bug's egg.",,False
048,Venonat,Bug|Poison,Insect,False,False,1,https://pokeres.bastionbot.org/images/pokemon/48.png,"The small bugs it eats appear only at night, so it sleeps in a hole in a tree until night falls.",,False
049,Venomoth,Bug|Poison,Poison Moth,False,False,1,https://pokeres.bastionbot.org/images/pokemon/49.png,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand.",,False
050,Diglett,Ground,Mole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/50.png,"It digs underground and chews on tree roots, sticking its head out only when the sun isn't bright.",,False
050,Alolan Diglett,Ground|Steel,Mole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/50.png,"It digs underground and chews on tree roots, sticking its head out only when the sun isn't bright.",,False
051,Dugtrio,Ground,Mole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/51.png,These DIGLETT triplets dig over 60 miles below sea level. No one knows what it's like underground.,,False
051,Alolan Dugtrio,Ground|Steel,Mole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/51.png,These DIGLETT triplets dig over 60 miles below sea level. No one knows what it's like underground.,,False
052,Meowth,Normal,Scratch Cat,False,False,1,https://pokeres.bastionbot.org/images/pokemon/52.png,"It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines too.",,False
052,Alolan Meowth,Dark,Scratch Cat,False,False,1,https://pokeres.bastionbot.org/images/pokemon/52.png,"It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines too.",,False
053,Persian,Normal,Classy Cat,False,False,1,https://pokeres.bastionbot.org/images/pokemon/53.png,"Behind its lithe, elegant appearance lies a barbaric side. It will tear apart its prey on a mere whim.",,False
053,Alolan Persian,Dark,Classy Cat,False,False,1,https://pokeres.bastionbot.org/images/pokemon/53.png,"Behind its lithe, elegant appearance lies a barbaric side. It will tear apart its prey on a mere whim.",,False
054,Psyduck,Water,Duck,False,False,1,https://pokeres.bastionbot.org/images/pokemon/54.png,The only time it can use its psychic power is when its sleeping brain cells happen to wake.,,False
055,Golduck,Water,Duck,False,False,1,https://pokeres.bastionbot.org/images/pokemon/54.png,"It swims gracefully along on the quiet, slow-moving rivers and lakes of which it is so fond.",,False
056,Mankey,Fighting,Pig Monkey,False,False,1,https://pokeres.bastionbot.org/images/pokemon/56.png,"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.",,False
057,Primeape,Fighting,Pig Monkey,False,False,1,https://pokeres.bastionbot.org/images/pokemon/57.png,"It will beat up anyone who makes it mad, even if it has to chase them until the end of the world.",,False
058,Growlithe,Fire,Puppy,False,False,1,https://pokeres.bastionbot.org/images/pokemon/58.png,"It controls a big territory. If it detects an unknown smell, it roars loudly to force out the intruder.",,False
059,Arcanine,Fire,Legendary,False,False,1,https://pokeres.bastionbot.org/images/pokemon/59.png,An ancient picture scroll shows that people were attracted to its movement as it ran through prairies.,,False
060,Poliwag,Water,Tadpole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/60.png,The swirl on its belly is its insides showing through the skin. It looks clearer after it eats.,,False
061,Poliwhirl,Water,Tadpole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/61.png,"Though it is skilled at walking, it prefers to live underwater where there is less danger.",,False
062,Poliwrath,Water|Fighting,Tadpole,False,False,1,https://pokeres.bastionbot.org/images/pokemon/62.png,It can use its well-developed arms and legs to run on the surface of the water for a split second.,,False
063,Abra,Psychic,Psi,False,False,1,https://pokeres.bastionbot.org/images/pokemon/63.png,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep.",,False
064,Kadabra,Psychic,Psi,False,False,1,https://pokeres.bastionbot.org/images/pokemon/64.png,"When it closes its eyes, twice as many alpha particles come out of the surface of its body.",,False
065,Alakazam,Psychic,Psi,False,False,1,https://pokeres.bastionbot.org/images/pokemon/65.png,It has an IQ of 5000. It calculates many things in order to gain the edge in every battle.,,False
066,Machop,Fighting,Superpower,False,False,1,https://pokeres.bastionbot.org/images/pokemon/66.png,It trains by lifting rocks in the mountains. It can even pick up a GRAVELER with ease.,,False
067,Machoke,Fighting,Superpower,False,False,1,https://pokeres.bastionbot.org/images/pokemon/67.png,This tough POKéMON always stays in the zone. Its muscles become thicker after every battle.,,False
068,Machamp,Fighting,Superpower,False,False,1,https://pokeres.bastionbot.org/images/pokemon/68.png,"With four arms that react more quickly than it can think, it can execute many punches at once.",,False
069,Bellsprout,Grass|Poison,Flower,False,False,1,https://pokeres.bastionbot.org/images/pokemon/69.png,"If it notices anything that moves, it immediately flings its vine at the object.",,False
070,Weepinbell,Grass|Poison,Flycatcher,False,False,1,https://pokeres.bastionbot.org/images/pokemon/70.png,"When it's hungry, it swings its razor-sharp leaves, slicing up any unlucky object nearby for food.",,False
071,Victreebel,Grass|Poison,Flycatcher,False,False,1,https://pokeres.bastionbot.org/images/pokemon/71.png,"Once ingested into this POKéMON's body, even the hardest object will melt into nothing.",,False
072,Tentacool,Water|Poison,Jellyfish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/72.png,"As it floats along on the waves, it uses its toxic feelers to stab anything it touches.",,False
073,Tentacruel,Water|Poison,Jellyfish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/73.png,"When its 80 feelers absorb water, it stretches to become like a net to entangle its prey.",,False
074,Geodude,Ground|Rock,Rock,False,False,1,https://pokeres.bastionbot.org/images/pokemon/74.png,"Proud of their sturdy bodies, they bash against each other in a contest to prove whose is harder.",,False
074,Alolan Geodude,Electric|Rock,Rock,False,False,1,https://pokeres.bastionbot.org/images/pokemon/74.png,"Proud of their sturdy bodies, they bash against each other in a contest to prove whose is harder.",,False
075,Graveler,Ground|Rock,Rock,False,False,1,https://pokeres.bastionbot.org/images/pokemon/75.png,"It travels by rolling on mountain paths. If it gains too much speed, it stops by running into huge rocks.",,False
075,Alolan Graveler,Electric|Rock,Rock,False,False,1,https://pokeres.bastionbot.org/images/pokemon/75.png,"It travels by rolling on mountain paths. If it gains too much speed, it stops by running into huge rocks.",,False
076,Golem,Ground|Rock,Megaton,False,False,1,https://pokeres.bastionbot.org/images/pokemon/76.png,"Its rock-like body is so durable, even high-powered dynamite blasts fail to scratch its rugged hide.",,False
076,Alolan Golem,Electric|Rock,Megaton,False,False,1,https://pokeres.bastionbot.org/images/pokemon/76.png,"Its rock-like body is so durable, even high-powered dynamite blasts fail to scratch its rugged hide.",,False
077,Ponyta,Fire,Fire Horse,False,False,1,https://pokeres.bastionbot.org/images/pokemon/77.png,Training by jumping over grass that grows longer every day has made it a world-class jumper.,,False
078,Rapidash,Fire,Fire Horse,False,False,1,https://pokeres.bastionbot.org/images/pokemon/78.png,"It just loves to gallop. The faster it goes, the longer the swaying flames of its mane will become.",,False
079,Slowpoke,Water|Psychic,Dopey,False,False,1,https://pokeres.bastionbot.org/images/pokemon/79.png,"It is always so absent-minded that it won't react, even if its flavorful tail is bitten.",,False
080,Slowbro,Water|Psychic,Hermit Crab,False,False,1,https://pokeres.bastionbot.org/images/pokemon/80.png,An attached SHELLDER won't let go because of the tasty flavor that oozes out of its tail.,,False
081,Magnemite,Electric|Steel,Magnet,False,False,1,https://pokeres.bastionbot.org/images/pokemon/81.png,The electricity emitted by the units on each side of its body cause it to become a strong magnet.,,False
082,Magneton,Electric|Steel,Magnet,False,False,1,https://pokeres.bastionbot.org/images/pokemon/82.png,"When many MAGNETON gather together, the resulting magnetic storm disrupts radio waves.",,False
083,Farfetch'd,Flying|Normal,Wild Duck,False,False,1,https://pokeres.bastionbot.org/images/pokemon/83.png,"In order to prevent their extinction, more people have made an effort to breed these POKéMON.","Farfetchd|Farfetch’d",True
084,Doduo,Flying|Normal,Twin Bird,False,False,1,https://pokeres.bastionbot.org/images/pokemon/84.png,"It lives on a grassy plain where it can see a long way. If it sees an enemy, it runs away at 60 mph.",,False
085,Dodrio,Flying|Normal,Triple Bird,False,False,1,https://pokeres.bastionbot.org/images/pokemon/85.png,An enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.,,False
086,Seel,Water,Sea Lion,False,False,1,https://pokeres.bastionbot.org/images/pokemon/86.png,The light blue fur that covers it keeps it protected against the cold. It loves iceberg-filled oceans.,,False
087,Dewgong,Ice|Water,Sea Lion,False,False,1,https://pokeres.bastionbot.org/images/pokemon/87.png,"It sleeps under shallow ocean waters during the day, then looks for food at night when it's cold.",,False
088,Grimer,Poison,Sludge,False,False,1,https://pokeres.bastionbot.org/images/pokemon/88.png,"When two of these POKéMON's bodies are combined together, new poisons are created.",,False
088,Alolan Grimer,Dark|Poison,Sludge,False,False,1,https://pokeres.bastionbot.org/images/pokemon/88.png,"When two of these POKéMON's bodies are combined together, new poisons are created.",,False
089,Muk,Poison,Sludge,False,False,1,https://pokeres.bastionbot.org/images/pokemon/89.png,"As it moves, a very strong poison leaks from it, making the ground there barren for three years.",,False
089,Alolan Muk,Dark|Poison,Sludge,False,False,1,https://pokeres.bastionbot.org/images/pokemon/89.png,"As it moves, a very strong poison leaks from it, making the ground there barren for three years.",,False
090,Shellder,Water,Bivalve,False,False,1,https://pokeres.bastionbot.org/images/pokemon/90.png,"Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort.",,False
091,Cloyster,Ice|Water,Bivalve,False,False,1,https://pokeres.bastionbot.org/images/pokemon/91.png,Even a missile can't break the spikes it uses to stab opponents. They're even harder than its shell.,,False
092,Gastly,Ghost|Poison,Gas,False,False,1,https://pokeres.bastionbot.org/images/pokemon/92.png,"It wraps its opponent in its gas-like body, slowly weakening its prey by poisoning it through the skin.",,False
093,Haunter,Ghost|Poison,Gas,False,False,1,https://pokeres.bastionbot.org/images/pokemon/93.png,"It hides in the dark, planning to take the life of the next living thing that wanders close by.",Spooky Lad|Spoopy Boi,False
094,Gengar,Ghost|Poison,Shadow,False,False,1,https://pokeres.bastionbot.org/images/pokemon/94.png,"Hiding in people's shadows at night, it absorbs their heat. The chill it causes makes the victims shake.",,False
095,Onix,Ground|Rock,Rock Snake,False,False,1,https://pokeres.bastionbot.org/images/pokemon/95.png,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.",,False
096,Drowzee,Psychic,Hypnosis,False,False,1,https://pokeres.bastionbot.org/images/pokemon/96.png,"When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about.",,False
097,Hypno,Psychic,Hypnosis,False,False,1,https://pokeres.bastionbot.org/images/pokemon/97.png,"The longer it swings its pendulum, the longer the effects of its hypnosis last.",,False
098,Krabby,Water,River Crab,False,False,1,https://pokeres.bastionbot.org/images/pokemon/98.png,"If it is unable to find food, it will absorb nutrients by swallowing a mouthful of sand.",,False
099,Kingler,Water,Pincer,False,False,1,https://pokeres.bastionbot.org/images/pokemon/99.png,"Its oversized claw is very powerful, but when it's not in battle, the claw just gets in the way.",,False
100,Voltorb,Electric,Ball,False,False,1,https://pokeres.bastionbot.org/images/pokemon/100.png,"During the study of this POKéMON, it was discovered that its components are not found in nature.",,False
101,Electrode,Electric,Ball,False,False,1,https://pokeres.bastionbot.org/images/pokemon/101.png,"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.",,False
102,Exeggcute,Grass|Psychic,Egg,False,False,1,https://pokeres.bastionbot.org/images/pokemon/102.png,"If even one is separated from the group, the energy bond between the six will make them rejoin instantly.",,False
103,Exeggutor,Grass|Psychic,Coconut,False,False,1,https://pokeres.bastionbot.org/images/pokemon/103.png,Living in a good environment makes it grow lots of heads. A head that drops off becomes an EXEGGCUTE.,,False
103,Alolan Exeggutor,Grass|Dragon,Coconut,False,False,1,https://pokeres.bastionbot.org/images/pokemon/103.png,Living in a good environment makes it grow lots of heads. A head that drops off becomes an EXEGGCUTE.,,False
104,Cubone,Ground,Lonely,False,False,1,https://pokeres.bastionbot.org/images/pokemon/104.png,"It lost its mother after its birth. It wears its mother's skull, never revealing its true face.",,False
105,Marowak,Ground,Bone Keeper,False,False,1,https://pokeres.bastionbot.org/images/pokemon/105.png,Somewhere in the world is a cemetery just for MAROWAK. It gets its bones from those graves.,,False
105,Alolan Marowak,Fire|Ghost,Bone Keeper,False,False,1,https://pokeres.bastionbot.org/images/pokemon/105.png,Somewhere in the world is a cemetery just for MAROWAK. It gets its bones from those graves.,,False
106,Hitmonlee,Fighting,Kicking,False,False,1,https://pokeres.bastionbot.org/images/pokemon/106.png,It is also called the Kick Master. It uses its elastic legs to execute every known kick.,,False
107,Hitmonchan,Fighting,Punching,False,False,1,https://pokeres.bastionbot.org/images/pokemon/107.png,"To increase the strength of all its punch moves, it spins its arms just before making contact.",,False
108,Lickitung,Normal,Licking,False,False,1,https://pokeres.bastionbot.org/images/pokemon/108.png,It has a tongue that is over 6’6’’ long. It uses this long tongue to lick its body clean.,,False
109,Koffing,Poison,Poison Gas,False,False,1,https://pokeres.bastionbot.org/images/pokemon/109.png,"If one gets close enough to it when it expels poisonous gas, the gas swirling inside it can be seen.",,False
110,Weezing,Poison,Poison Gas,False,False,1,https://pokeres.bastionbot.org/images/pokemon/110.png,"When it inhales poisonous gases from garbage, its body expands, and its insides smell much worse.",,False
111,Rhyhorn,Ground|Rock,Spikes,False,False,1,https://pokeres.bastionbot.org/images/pokemon/111.png,"It can remember only one thing at a time. Once it starts rushing, it forgets why it started.",,False
112,Rhydon,Ground|Rock,Spikes,False,False,1,https://pokeres.bastionbot.org/images/pokemon/112.png,"By lightly spinning its drill-like horn, it can easily shatter even a diamond in the rough.",,False
113,Chansey,Normal,Egg,False,False,1,https://pokeres.bastionbot.org/images/pokemon/113.png,"People try to catch it for its extremely nutritious eggs, but it rarely can be found.",,False
114,Tangela,Grass,Vine,False,False,1,https://pokeres.bastionbot.org/images/pokemon/114.png,"During battle, it constantly moves the vines that cover its body in order to annoy its opponent.",,False
115,Kangaskhan,Normal,Parent,False,False,1,https://pokeres.bastionbot.org/images/pokemon/115.png,"To avoid crushing the baby it carries in its pouch, it always sleeps standing up.",,True
116,Horsea,Water,Dragon,False,False,1,https://pokeres.bastionbot.org/images/pokemon/116.png,"When they're in a safe location, they can be seen playfully tangling their tails together.",,False
117,Seadra,Water,Dragon,False,False,1,https://pokeres.bastionbot.org/images/pokemon/117.png,"The male raises the young. If it is approached, it uses its toxic spikes to fend off the intruder.",,False
118,Goldeen,Water,Goldfish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/118.png,"During spawning season, they swim gracefully in the water, searching for their perfect mate.",,False
119,Seaking,Water,Goldfish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/119.png,"When autumn comes, the males patrol the area around their nests in order to protect their offspring.",,False
120,Staryu,Water,Star Shape,False,False,1,https://pokeres.bastionbot.org/images/pokemon/120.png,"When the stars twinkle at night, it floats up from the sea floor, and its body's center core flickers.",,False
121,Starmie,Water|Psychic,Star Shape,False,False,1,https://pokeres.bastionbot.org/images/pokemon/121.png,It is said that it uses the seven-colored core of its body to send electric waves into outer space.,,False
122,Mr. Mime,Psychic|Fairy,Barrier,False,False,1,https://pokeres.bastionbot.org/images/pokemon/122.png,It uses the mysterious power it has in its fingers to solidify air into an invisible wall.,Mr Mime|Mister Mime|Mime,True
123,Scyther,Flying|Bug,Mantis,False,False,1,https://pokeres.bastionbot.org/images/pokemon/123.png,It's very proud of its speed. It moves so fast that its opponent does not even know what knocked it down.,,False
124,Jynx,Ice|Psychic,Human Shape,False,False,1,https://pokeres.bastionbot.org/images/pokemon/124.png,"It has several different cry patterns, each of which seems to have its own meaning.",,False
125,Electabuzz,Electric,Electric,False,False,1,https://pokeres.bastionbot.org/images/pokemon/125.png,"When two ELECTABUZZ touch, they control the electric currents to communicate their feelings.",,False
126,Magmar,Fire,Spitfire,False,False,1,https://pokeres.bastionbot.org/images/pokemon/126.png,It moves more frequently in hot areas. It can heal itself by dipping its wound into lava.,,False
127,Pinsir,Bug,Stag Beetle,False,False,1,https://pokeres.bastionbot.org/images/pokemon/127.png,"When the temperature drops at night, it sleeps on treetops or among roots where it is well hidden.",,False
128,Tauros,Normal,Wild Bull,False,False,1,https://pokeres.bastionbot.org/images/pokemon/128.png,These violent POKéMON fight with other members of their herd in order to prove their strength.,,True
129,Magikarp,Water,Fish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/129.png,This weak and pathetic POKéMON gets easily pushed along rivers when there are strong currents.,,False
130,Gyarados,Flying|Water,Atrocious,False,False,1,https://pokeres.bastionbot.org/images/pokemon/130.png,"It appears whenever there is world conflict, burning down any place it travels through.",,False
131,Lapras,Ice|Water,Transport,False,False,1,https://pokeres.bastionbot.org/images/pokemon/131.png,This gentle POKéMON loves to give people rides and provides a very comfortable way to get around.,,False
132,Ditto,Normal,Transform,False,False,1,https://pokeres.bastionbot.org/images/pokemon/132.png,"When it encounters another DITTO, it will move faster than normal to duplicate that opponent exactly.",,False
133,Eevee,Normal,Evolution,False,False,1,https://pokeres.bastionbot.org/images/pokemon/133.png,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,,False
134,Vaporeon,Water,Bubble Jet,False,False,1,https://pokeres.bastionbot.org/images/pokemon/134.png,"As it uses the fins on the tip of its tail to swim, it blends with the water perfectly.",,False
135,Jolteon,Electric,Lightning,False,False,1,https://pokeres.bastionbot.org/images/pokemon/135.png,The negatively charged ions generated in its fur create a constant sparking noise.,,False
136,Flareon,Fire,Flame,False,False,1,https://pokeres.bastionbot.org/images/pokemon/136.png,"Once it has stored up enough heat, this POKéMON's body temperature can reach up to 1700 degrees.",,False
137,Porygon,Normal,Virtual,False,False,1,https://pokeres.bastionbot.org/images/pokemon/137.png,"An artificial POKéMON created due to extensive research, it can perform only what is in its program.",,False
138,Omanyte,Water|Rock,Spiral,False,False,1,https://pokeres.bastionbot.org/images/pokemon/138.png,"In prehistoric times, it swam on the sea floor, eating plankton. Its fossils are sometimes found.",,False
139,Omastar,Water|Rock,Spiral,False,False,1,https://pokeres.bastionbot.org/images/pokemon/139.png,Its heavy shell allowed it to reach only nearby food. This could be the reason it is extinct.,,False
140,Kabuto,Water|Rock,Shellfish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/140.png,"Three hundred million years ago, it hid on the sea floor. It also has eyes on its back that glow.",,False
